PN,Date,StockLevel
1101-0001-2208,2021-03-01,55917.0
1101-0001-2209,2021-03-01,112108.0
1101-0001-2210,2021-03-01,27479.0
1101-0001-2211,2021-03-01,6709.0
1101-0001-2212,2021-03-01,50227.0
1101-0001-2213,2021-03-01,8397.0
1101-0001-2218,2021-03-01,4776.0
1101-0001-2219,2021-03-01,39825.0
1101-0001-2229,2021-03-01,3061.0
1101-0001-2253,2021-03-01,4597.0
1101-0001-2432,2021-03-01,4746.0
1101-0001-2490,2021-03-01,2621.0
1101-0001-2492,2021-03-01,4503.0
1101-0001-2672,2021-03-01,11284.0
1101-0001-2700,2021-03-01,18401.0
1101-0001-2701,2021-03-01,81943.0
1101-0001-2702,2021-03-01,10020.0
1101-0001-2703,2021-03-01,2554.0
1101-0001-2709,2021-03-01,48233.0
1101-0001-2741,2021-03-01,5686.0
1101-0001-2743,2021-03-01,1702.0
1101-0001-2871,2021-03-01,9796.0
1101-0001-3000,2021-03-01,4825.0
1101-0001-3001,2021-03-01,56622.0
1101-0001-3002,2021-03-01,7395.0
1101-0001-3162,2021-03-01,2063.0
1101-0001-3300,2021-03-01,109728.0
1101-0001-3301,2021-03-01,129842.0
1101-0001-3302,2021-03-01,40466.0
1101-0001-3303,2021-03-01,6699.0
1101-0001-3308,2021-03-01,44776.0
1101-0001-3309,2021-03-01,234738.0
1101-0001-3320,2021-03-01,4312.0
1101-0001-3321,2021-03-01,25565.0
1101-0001-3322,2021-03-01,1311.0
1101-0001-3323,2021-03-01,2333.0
1101-0001-3329,2021-03-01,9389.0
1101-0001-3601,2021-03-01,8437.0
1101-0001-3602,2021-03-01,8642.0
1101-0001-3652,2021-03-01,2950.0
1101-0001-3742,2021-03-01,9421.0
1101-0001-3900,2021-03-01,41198.0
1101-0001-3901,2021-03-01,10840.0
1101-0001-3902,2021-03-01,2758.0
1101-0001-3909,2021-03-01,2675.0
1101-0001-3922,2021-03-01,4330.0
1101-0001-4021,2021-03-01,4768.0
1101-0001-4022,2021-03-01,2011.0
1101-0001-4301,2021-03-01,4259.0
1101-0001-4302,2021-03-01,5664.0
1101-0001-4422,2021-03-01,1360.0
1101-0001-4641,2021-03-01,4465.0
1101-0001-4700,2021-03-01,69999.0
1101-0001-4701,2021-03-01,88625.0
1101-0001-4702,2021-03-01,81560.0
1101-0001-4703,2021-03-01,6569.0
1101-0001-4707,2021-03-01,17224.0
1101-0001-4709,2021-03-01,127836.0
1101-0001-4750,2021-03-01,1443.0
1101-0001-4751,2021-03-01,18367.0
1101-0001-4752,2021-03-01,6391.0
1101-0001-4753,2021-03-01,1637.0
1101-0001-4758,2021-03-01,2229.0
1101-0001-4759,2021-03-01,5190.0
1101-0001-4881,2021-03-01,9398.0
1101-0001-4991,2021-03-01,21451.0
1101-0001-4992,2021-03-01,2131.0
1101-0001-4999,2021-03-01,37412.0
1101-0001-5100,2021-03-01,2981.0
1101-0001-5101,2021-03-01,2724.0
1101-0001-5102,2021-03-01,13232.0
1101-0001-5112,2021-03-01,2598.0
1101-0001-5232,2021-03-01,314.0
1101-0001-5400,2021-03-01,13567.0
1101-0001-5600,2021-03-01,21083.0
1101-0001-5601,2021-03-01,56618.0
1101-0001-5602,2021-03-01,106063.0
1101-0001-5603,2021-03-01,28294.0
1101-0001-5622,2021-03-01,4890.0
1101-0001-5891,2021-03-01,1484.0
1101-0001-6192,2021-03-01,9093.0
1101-0001-6202,2021-03-01,12016.0
1101-0001-6800,2021-03-01,14651.0
1101-0001-6801,2021-03-01,9257.0
1101-0001-6802,2021-03-01,8043.0
1101-0001-6803,2021-03-01,11367.0
1101-0001-6807,2021-03-01,620.0
1101-0001-6809,2021-03-01,7871.0
1101-0001-6811,2021-03-01,1809.0
1101-0001-7500,2021-03-01,4670.0
1101-0001-7501,2021-03-01,4996.0
1101-0001-7502,2021-03-01,4242.0
1101-0001-7508,2021-03-01,13013.0
1101-0001-7509,2021-03-01,131964.0
1101-0001-7872,2021-03-01,801.0
1101-0001-8200,2021-03-01,23632.0
1101-0001-8201,2021-03-01,8064.0
1101-0001-8202,2021-03-01,10389.0
1101-0001-8222,2021-03-01,11206.0
1101-0001-8251,2021-03-01,3509.0
1101-0001-9100,2021-03-01,4057.0
1101-0001-9102,2021-03-01,24571.0
1101-0001-9109,2021-03-01,7803.0
1101-0001-9531,2021-03-01,3987.0
1101-0001-9762,2021-03-01,12714.0
1101-0002-1004,2021-03-01,5635.0
1101-0002-1008,2021-03-01,2425.0
1101-0002-4701,2021-03-01,4940.0
1101-0002-6813,2021-03-01,9599.0
1101-0003-1472,2021-03-01,4472.0
1101-0003-3161,2021-03-01,10475.0
1101-0003-4711,2021-03-01,8059.0
1101-0003-4990,2021-03-01,12590.0
1101-0003-5901,2021-03-01,10155.0
1101-0004-1003,2021-03-01,5021.0
1101-0004-1013,2021-03-01,9600.0
1101-0004-1053,2021-03-01,6224.0
1101-0004-1211,2021-03-01,3111.0
1101-0004-1302,2021-03-01,2931.0
1101-0004-1501,2021-03-01,3214.0
1101-0004-1502,2021-03-01,71593.0
1101-0004-1552,2021-03-01,10016.0
1101-0004-1602,2021-03-01,2938.0
1101-0004-2203,2021-03-01,2992.0
1101-0004-2702,2021-03-01,3044.0
1101-0004-4701,2021-03-01,6250.0
