idx,id,depth,Explored,Pruned,Fathomed,Objective,TotalSchedules,IntegerSchedules,SchedulesPerOrder,SchedulesOptimalPerOrder,Integer,CGIterations,MasterCompTime,PricingCompTime
,50,25,0,0,0,,,,,,False,,,
26.0,51,26,1,0,0,360.0,450.0,29.0,13.636363636363637,1.121212121212121,0,1.0,0.022938251495361328,1.0242865085601807
,52,26,0,0,0,,,,,,False,,,
27.0,53,27,1,0,0,360.0,383.0,29.0,11.606060606060606,1.121212121212121,0,1.0,0.021941184997558594,0.9215743541717529
,54,27,0,0,0,,,,,,False,,,
28.0,55,28,1,0,0,360.0,300.0,29.0,9.090909090909092,1.121212121212121,0,1.0,0.021940946578979492,0.8188138008117676
,56,28,0,0,0,,,,,,False,,,
29.0,57,29,1,0,0,360.0,253.0,29.0,7.666666666666667,1.121212121212121,0,1.0,0.026928186416625977,0.6923427581787109
,58,29,0,0,0,,,,,,False,,,
30.0,59,30,1,0,0,360.0,225.0,30.0,6.818181818181818,1.0909090909090908,0,10.0,0.2987635135650635,6.761952638626099
,60,30,0,0,0,,,,,,False,,,
31.0,61,31,1,0,0,360.0,150.0,33.0,4.545454545454546,1.0,1,1.0,0.023935556411743164,0.4698460102081299
,62,31,0,0,0,,,,,,False,,,
