PN,ProductGroup,WorkCenter,Predecessors,RawMaterial,OperationRoute,OperationRouteID,ProcessingTimes,SetupTimes,BatchInfo,ScrapRate
6016-1701-3800,,SA,"[['6016-1701-4100', 2.0], ['6016-1800-2100', 1.0], ['6016-1800-2300', 1.0]]",-,SA,21,[9.96],0,50-100-200,0.02
6016-1701-3900,,SA,"[['6016-1701-4100', 2.0], ['6016-1800-0902', 1.0], ['6016-1800-1000', 1.0]]",-,SA,21,[9.651],0,50-100-200,0.003629764
6016-1701-3901,,SA,"[['6016-1701-4100', 2.0], ['6016-1800-0902', 1.0], ['6016-1800-1001', 1.0]]",-,SA,21,[9.651],0,50-100-200,0.003629764
6016-1701-3902,,Phantom,"[['6016-1701-4100', 2.0], ['6016-1800-1001', 1.0]]",-,Phantom,31,[0],0,50-100-200,0.003629764
6016-1701-4000,,SA,"[['6016-1701-4100', 2.0], ['6016-1800-2600', 1.0], ['6016-1800-2800', 1.0]]",-,SA,21,[9.96],0,3-6.0-12.0,0.03125
6016-1701-4001,,SA,"[['6016-1701-4100', 2.0], ['6016-1800-2601', 1.0], ['6016-1800-2800', 1.0]]",-,SA,21,[9.96],0,3-6.0-12.0,0.03125
6022-1600-0501,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1600-3201,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1600-4101,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1601-6300,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6022-1601-6500,,SA,[],-,SA,21,[9.96],0,50-100-200,0.02
6022-1601-6501,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
6022-1700-0000,,PRD,[],-,"['LaserMarking', 'SMD', 'CA', 'Selective', 'Depanelize']",0,"[1.017, 0.833, 3.75, 2.433, 1.1333333333333333]","[10, 54, 10, 10, 10]",290-580-1160,0.01
