OrderID,FinalProductPN,Quantity,Deadline,Type,SplitDelivery,SplitPeriod,Revenue,CustomerPriority
315,6774-1400-0701,100.0,34,S,1,0,1,1
316,6782-1902-7207,1000.0,34,S,1,0,1,1
317,6774-1300-0301,100.0,34,S,1,0,1,1
318,6774-1800-1800,25.0,34,S,1,0,1,1
320,6649-1800-4503,100.0,35,S,1,0,1,1
321,6782-1401-0002,96.0,35,S,1,0,1,1
322,6782-1401-0002,388.0,35,S,1,0,1,1
323,6782-1401-0103,96.0,35,S,1,0,1,1
324,6782-1902-7107,96.0,35,S,1,0,1,1
325,6782-1902-7107,388.0,35,S,1,0,1,1
326,6782-1401-0103,388.0,35,S,1,0,1,1
327,6649-1000-0213,2015.0,36,S,1,0,1,1
328,6050-1900-1202,432.0,36,S,1,0,1,1
329,6298-1200-4404,240.0,36,S,1,0,1,1
330,6799-1300-0025,144.0,37,S,1,0,1,1
331,6934-1802-8104,20.0,38,S,1,0,1,1
332,6337-1600-2217,56.0,38,S,1,0,1,1
333,6318-1500-4007,375.0,38,S,1,0,1,1
334,6023-1701-0007,1000.0,38,S,1,0,1,1
335,6782-1401-0103,96.0,38,S,1,0,1,1
336,6298-1200-4404,240.0,38,S,1,0,1,1
337,6782-1401-0002,96.0,38,S,1,0,1,1
338,6318-1700-2607,432.0,38,S,1,0,1,1
339,6782-1902-7107,96.0,38,S,1,0,1,1
340,6337-1200-8505,700.0,38,S,1,0,1,1
341,6298-1200-2808,300.0,38,S,1,0,1,1
342,6410-1602-0904,50.0,38,S,1,0,1,1
343,6298-1700-5902,360.0,39,S,1,0,1,1
344,6799-1300-0025,192.0,39,S,1,0,1,1
345,6298-1700-5902,600.0,39,S,1,0,1,1
346,6649-1000-0213,1000.0,39,S,1,0,1,1
347,6966-1700-0006,480.0,39,S,1,0,1,1
348,6298-1200-4404,240.0,41,S,1,0,1,1
350,6808-1600-2511,256.0,41,S,1,0,1,1
351,6298-1200-2808,241.0,41,S,1,0,1,1
352,6318-1200-4602,600.0,41,S,1,0,1,1
353,6023-1701-0007,500.0,41,S,1,0,1,1
354,6298-1200-2808,59.0,41,S,1,0,1,1
355,6761-1901-2801,10000.0,42,S,1,0,1,1
356,6761-1903-0303,10000.0,42,S,1,0,1,1
357,6761-1903-6200,1000.0,42,S,1,0,1,1
358,6649-1800-4603,275.0,42,S,1,0,1,1
360,6337-1600-2217,56.0,43,S,1,0,1,1
361,6774-1400-0701,100.0,43,S,1,0,1,1
362,6318-1500-4007,297.0,43,S,1,0,1,1
363,6761-1200-0005,9334.0,43,S,1,0,1,1
364,6782-1401-0103,68.0,43,S,1,0,1,1
365,6337-1600-2217,56.0,43,S,1,0,1,1
366,6661-1101-0401,900.0,43,S,1,0,1,1
368,6782-1902-7207,68.0,43,S,1,0,1,1
369,6880-1903-5503,10.0,43,S,1,0,1,1
370,6799-1300-0025,240.0,43,S,1,0,1,1
371,6337-1600-2217,56.0,43,S,1,0,1,1
372,6298-1700-5902,600.0,43,S,1,0,1,1
373,6782-1401-0002,68.0,43,S,1,0,1,1
374,6808-1700-2304,256.0,43,S,1,0,1,1
375,6782-1902-7207,800.0,44,S,1,0,1,1
376,6799-1900-3302,30.0,44,S,1,0,1,1
377,6782-1401-0002,820.0,44,S,1,0,1,1
378,6782-1401-0103,820.0,44,S,1,0,1,1
380,6808-1800-4902,200.0,44,S,1,0,1,1
382,6298-1100-0611,1080.0,46,S,1,0,1,1
383,6602-1700-1303,6000.0,46,S,1,0,1,1
384,6298-1400-7005,1080.0,46,S,1,0,1,1
385,6298-1400-7005,1080.0,46,S,1,0,1,1
386,6023-1702-0404,1000.0,46,S,1,0,1,1
387,6602-1700-1201,6000.0,46,S,1,0,1,1
388,6799-1300-0025,144.0,47,S,1,0,1,1
389,6932-1701-7400,100.0,47,S,1,0,1,1
390,6932-1902-7102,500.0,47,S,1,0,1,1
391,6932-1902-8802,500.0,47,S,1,0,1,1
392,6932-1902-9203,100.0,47,S,1,0,1,1
395,6023-1900-1500,500.0,49,S,1,0,1,1
396,6782-1401-0002,192.0,49,S,1,0,1,1
397,6782-1401-0002,300.0,49,S,1,0,1,1
398,6782-1401-0103,192.0,49,S,1,0,1,1
399,6782-1902-7307,130.0,49,S,1,0,1,1
400,6782-1902-7207,192.0,49,S,1,0,1,1
401,6782-1401-0103,300.0,49,S,1,0,1,1
402,6782-1401-0103,192.0,49,S,1,0,1,1
404,6782-1401-0002,150.0,50,S,1,0,1,1
406,6782-1902-7107,104.0,50,S,1,0,1,1
407,6782-1902-7207,100.0,50,S,1,0,1,1
408,6782-1401-0103,104.0,50,S,1,0,1,1
409,6298-1100-0611,1080.0,50,S,1,0,1,1
410,6298-1701-5704,240.0,50,S,1,0,1,1
411,6782-1401-0103,150.0,50,S,1,0,1,1
