JobID,OrderID,OrderDeadline,Selected Machine,WorkCenter,Alternative Machines,StartTime,CompTime,ProcessingTime,LatestStartTime,LatestCompTime,JobDeadline,Tardiness,StartTask,EndTask,StartJob,FinalJob
48,208,5,CA_4,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1560,1680,120,480.0,7488,3864.0,0,0,0,False,False
49,208,5,SMD_3,PRD,SMD_1- SMD_2- SMD_3,720,1560,240,240.0,7248,3744.0,0,0,0,False,False
50,208,5,LaserMarking_1,PRD,LaserMarking_1- LaserMarking_2,480,720,240,0.0,6432,3504.0,0,1,0,True,False
105,208,5,SA_16,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,5760,6720,960,3120.0,10080,6720.0,0,1,1,False,True
106,195,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6480,6720,240,1800.0,10800,6720.0,0,1,1,False,True
107,195,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,5760,6480,720,600.0,10080,6480.0,0,1,1,False,False
108,195,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1920,3000,600,0.0,9000,5880.0,0,1,1,True,False
109,195,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,5760,6360,600,0.0,10200,6480.0,0,1,1,True,False
111,149,5,SA_12,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,840,840,0.0,8040,5040.0,0,1,1,True,False
112,149,5,SA_22,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,720,720,0.0,8640,5040.0,0,1,1,True,False
110,149,5,SA_14,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1680,3360,1200,840.0,9360,6720.0,0,1,1,False,True
113,16,5,SA_18,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,2280,4440,1200,0.0,9360,6720.0,0,1,1,True,True
117,78,5,SA_18,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,1560,1080,0.0,9240,6480.0,0,1,1,True,False
166,78,5,CLEAN_1,CLEAN,CLEAN_1- CLEAN_2- CLEAN_3,0,480,480,0.0,6480,3120.0,0,1,1,True,False
116,78,5,SA_22,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,720,2880,1200,480.0,7440,4800.0,0,1,1,False,False
115,78,5,SA_22,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,2880,4560,1200,2160.0,9120,6480.0,0,1,1,False,False
114,78,5,SA_22,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,4560,4800,240,4320.0,10800,6720.0,0,1,1,False,True
120,116,5,SA_4,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,840,840,0.0,8040,5040.0,0,1,1,True,False
119,116,5,SA_28,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,600,600,0.0,8760,5040.0,0,1,1,True,False
118,116,5,SA_24,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,1800,3480,1200,840.0,9360,6720.0,0,1,1,False,True
123,125,5,SA_6,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,360,360,0.0,10080,6120.0,0,1,1,True,False
122,125,5,SA_8,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,480,480,0.0,9480,6120.0,0,1,1,True,False
121,125,5,SA_2,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,3480,4560,600,480.0,10440,6720.0,0,1,1,False,True
56,124,5,Depanelize_2,PRD,Depanelize_1- Depanelize_2,1800,1920,120,1680.0,10320,6120.0,0,0,1,False,False
57,124,5,Kitting_1,PRD,Kitting_1,1680,1800,120,1560.0,10200,6000.0,0,0,0,False,False
58,124,5,Selective_1,PRD,Selective_1- Selective_2- Selective_3,1560,1680,120,1440.0,10080,5880.0,0,0,0,False,False
59,124,5,CA_8,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,1440,1560,120,600.0,9240,5760.0,0,0,0,False,False
60,124,5,Selective_3,PRD,Selective_1- Selective_2- Selective_3,600,720,120,480.0,9120,5640.0,0,0,0,False,False
61,124,5,CA_2,PRD,CA_1- CA_2- CA_3- CA_4- CA_5- CA_6- CA_7- CA_8- CA_9,360,600,240,240.0,8880,5520.0,0,0,0,False,False
62,124,5,SMD_2,PRD,SMD_1- SMD_2- SMD_3,240,360,120,120.0,8760,5280.0,0,0,0,False,False
63,124,5,LaserMarking_2,PRD,LaserMarking_1- LaserMarking_2,120,240,120,0.0,8640,5160.0,0,1,0,True,False
124,124,5,SA_26,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,6120,6720,600,1800.0,10440,6720.0,0,1,1,False,True
125,124,5,SA_10,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,0,360,360,0.0,10080,6120.0,0,1,1,False,False
169,124,5,MILL,MILL,MILL,0,0,0,0.0,10080,5760.0,0,1,1,True,False
126,53,5,SA_4,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,2040,3480,960,0.0,10080,6720.0,0,1,1,True,True
167,92,5,CLEAN_2,CLEAN,CLEAN_1- CLEAN_2- CLEAN_3,0,240,240,0.0,9000,4920.0,0,1,1,True,False
130,92,5,SA_2,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,480,1560,600,0.0,10320,6600.0,0,1,1,True,False
129,92,5,SA_20,SA,SA_10- SA_12- SA_14- SA_16- SA_18- SA_2- SA_20- SA_22- SA_24- SA_26- SA_28- SA_4- SA_6- SA_8,360,1440,600,240.0,9240,6000.0,0,1,1,False,False
