idx,id,depth,Iteration,MasterCompTime,PricingCompTime,pricingExact,MasterSolVal,Integer,ArtVars,artvarSUM,SelectedColumns,TotalColumns,IntegerColumns,SchedulesPerOrder,SchedulesSelectedPerOrder,ColumnsNegRedCost,ColumnsChecked
33,65,33,1,0.1570901870727539,3.4423584938049316,1,250000750.0,0,1,0.25,62,416,32,10.146341463414634,1.5121951219512195,2,8
33,65,33,2,0.11119294166564941,3.3844377994537354,1,200000671.99999997,0,1,0.19999999999999996,70,447,32,10.902439024390244,1.7073170731707317,2,8
33,65,33,3,0.1278078556060791,3.516343116760254,1,107144586.4285715,0,1,0.1071428571428572,73,453,32,11.048780487804878,1.7804878048780488,4,8
33,65,33,4,0.1573352813720703,3.9482951164245605,1,70793620.55584684,0,1,0.07079181961195591,82,458,32,11.170731707317072,2.0,8,8
33,65,33,5,0.12499403953552246,3.5890331268310547,1,62501762.5,0,1,0.0625,74,471,32,11.487804878048781,1.8048780487804879,4,8
33,65,33,6,0.12970876693725586,4.164945363998413,1,18607096.372092854,0,1,0.01860465116279053,77,470,32,11.463414634146341,1.8780487804878048,8,8
33,65,33,7,0.1490938663482666,4.220264196395874,1,2460.0,0,0,0.0,48,419,34,10.21951219512195,1.170731707317073,8,8
33,65,33,8,0.12792539596557617,3.914984703063965,1,2415.0,0,0,0.0,54,454,33,11.073170731707316,1.3170731707317074,8,8
33,65,33,9,0.11027884483337402,3.4164154529571533,1,2400.0,0,0,0.0,50,443,35,10.804878048780488,1.2195121951219512,2,8
33,65,33,10,0.11016654968261719,4.017683982849121,1,1632.9411764705883,0,0,0.0,61,482,33,11.75609756097561,1.4878048780487805,8,8
33,65,33,11,0.12499260902404785,4.0725390911102295,1,1560.0,0,0,0.0,60,464,33,11.317073170731707,1.4634146341463414,8,8
33,65,33,12,0.12497162818908691,3.8945043087005615,1,1468.2352941176473,0,0,0.0,60,469,33,11.439024390243903,1.4634146341463414,8,8
33,65,33,13,0.15623688697814941,3.8751797676086426,1,1040.0,0,0,0.0,46,452,37,11.024390243902438,1.1219512195121952,8,8
33,65,33,14,0.15622758865356445,3.7910056114196777,1,1040.0,0,0,0.0,46,452,37,11.024390243902438,1.1219512195121952,8,8
33,65,33,15,0.12500381469726562,0.0,True,360.0,1,0,0.0,41,440,41,10.731707317073171,1.0,0,0
